weight,product,docId
4,MSDS报告记载：东莞市中子能源有限公司生产的圆柱形锂离子电池（型号ZZ18650）,76050a30604a48bb9469a8bc009cf169
4,实实在在车行、丘宜政称其事发当日中午购买了一组征途公司生产的型号为60V20AH锂电池供试车使用,dccd0c44510b4cd7a319ab2c0132904f
4,MSDS报告记载：东莞市中子能源有限公司生产的圆柱形锂离子电池（型号ZZ18650）,76050a30604a48bb9469a8bc009cf169
4,该报告认定南昌市赣江电池有限公司生产的规格型号6-DG-120蓄电池为合格产品,f1e3f74404bd40638565ee5084477203
4,实实在在车行、丘宜政称其事发当日中午购买了一组征途公司生产的型号为60V20AH锂电池供试车使用,dccd0c44510b4cd7a319ab2c0132904f
4,MSDS报告记载：东莞市中子能源有限公司生产的圆柱形锂离子电池（型号ZZ18650）,76050a30604a48bb9469a8bc009cf169
4,MSDS报告记载：东莞市中子能源有限公司生产的圆柱形锂离子电池（型号ZZ18650）,76050a30604a48bb9469a8bc009cf169
4,刘仕初在原告阮春艳所开办的邵阳县大木山明珠电器综合商店购买了一台被告所生产的“巧太太”牌Jzx·2-F3009型号家用燃气灶具,26aa88b80e334614aed2a74300fe9a48
4,原告购买并安装了被告兰陵县金鹰家电商贸有限公司销售的被告珠海格力电器股份有限公司生产的格力牌立式空调（外机型号KFR-50W／1KIB、内机型号KFR-50L（50510LH）-SN5）一部在家中使用,eebc3d61c4d841f89799fac702b77f77
3,其中包括150Ah/12V瑞达牌蓄电池256只,7950993cf5d94ca18d03ab15017e5615
3,约定Z公司向五洲龙公司采购用于五洲龙公司生产的纯电动大巴车辆（型号：FDG6113EVG3,cb325c25eb404228872faa7e00fe76e0
3,富天达车行、文富提交锂电池照片、实物等证据证明其于2016年9月18日向秦秋来出售的锂电池系广州市肱力电子有限公司生产的宏利牌锂电池,1322f58028b743dab177a9b400a5a3a9
3,货物为YOKOMA牌镍氢电池,be090e4f08ff43bebaa8a8bc0096b64e
3,汇宇蓝川公司主张其向佳博利公司购买的型号为505573的聚合物电池即为火灾事故认定书上记载的2300HA聚合物电池,37a5c316116c42299af4a85100ef004e
3,没有H4549691600mAh型号电池,746834e9d31140c08fa2ae6cc5db0a8d
3,没有H4549691600mAh型号电池,c2073390de784c8d91d104dadf34dd66
3,3台火灾事故汽车的实际单体电池型号、BMS型号与涉案车辆的备案的单体电池型号、BMS型号均不同,17b63ca5bc7e4a048fc1ab2600928433
3,其中包括150Ah/12VXX牌蓄电池256只,24adb8cb50234b34862bab2b000f2c67
3,约定：由同鑫公司向瑞芯公司提供MF100-12型号（80AH）铅酸蓄电池1424节、MF200-12型号（180AH）铅酸蓄电池128节,c44812a2eb144a9c97a9aab700f0b7b3
3,用随身携带的工具将一块12V100A双登牌蓄电池、两根70平米电池专用连接线、一块接地保护牌和一根10米长的铜线盗走,6b4d6713e976438fab4da9f901214a4e
3,电池品牌PCM,2c4415bfd6144c5788783f27bb351a19
3,单据上注明的“平衡充”及“简易平衡充”均为思科达公司生产的B3PRO型锂电池平衡充电器,e5d422c8654a4bac8b432169b68951a0
3,其中包括150Ah/12V瑞达牌蓄电池256只,7950993cf5d94ca18d03ab15017e5615
3,约定Z公司向五洲龙公司采购用于五洲龙公司生产的纯电动大巴车辆（型号：FDG6113EVG3,cb325c25eb404228872faa7e00fe76e0
3,富天达车行、文富提交锂电池照片、实物等证据证明其于2016年9月18日向秦秋来出售的锂电池系广州市肱力电子有限公司生产的宏利牌锂电池,1322f58028b743dab177a9b400a5a3a9
3,货物为YOKOMA牌镍氢电池,be090e4f08ff43bebaa8a8bc0096b64e
3,汇宇蓝川公司主张其向佳博利公司购买的型号为505573的聚合物电池即为火灾事故认定书上记载的2300HA聚合物电池,37a5c316116c42299af4a85100ef004e
3,没有H4549691600mAh型号电池,746834e9d31140c08fa2ae6cc5db0a8d
3,没有H4549691600mAh型号电池,c2073390de784c8d91d104dadf34dd66
3,3台火灾事故汽车的实际单体电池型号、BMS型号与涉案车辆的备案的单体电池型号、BMS型号均不同,17b63ca5bc7e4a048fc1ab2600928433
3,其中包括150Ah/12VXX牌蓄电池256只,24adb8cb50234b34862bab2b000f2c67
3,约定：由同鑫公司向瑞芯公司提供MF100-12型号（80AH）铅酸蓄电池1424节、MF200-12型号（180AH）铅酸蓄电池128节,c44812a2eb144a9c97a9aab700f0b7b3
3,用随身携带的工具将一块12V100A双登牌蓄电池、两根70平米电池专用连接线、一块接地保护牌和一根10米长的铜线盗走,6b4d6713e976438fab4da9f901214a4e
3,电池品牌PCM,2c4415bfd6144c5788783f27bb351a19
3,单据上注明的“平衡充”及“简易平衡充”均为思科达公司生产的B3PRO型锂电池平衡充电器,e5d422c8654a4bac8b432169b68951a0
3,星恒公司提供了中认英泰（苏州）检测技术有限公司出具的针对型号为XH370-13J(10IMP18/66/133(13)-001)的《锂电池危险货物分类定级试验报告》和吴江出入境检验检疫局电池产品检测实验室出具的针对型号为XH06-370-11J(10IMP18/66/133(11)-006)的《检测报告》,d213b96033ff4f08ab6fa84d00b0fab2
3,原告使用被告惠州三星电子有限公司生产的型号为SM-G9350（S7）三星手机在充电过程中自行发生爆炸,7e276bccc67b43adb741a96b0107da4c
3,货物为YOKOMA牌镍氢电池,be090e4f08ff43bebaa8a8bc0096b64e
3,汇宇蓝川公司主张其向佳博利公司购买的型号为505573的聚合物电池即为火灾事故认定书上记载的2300HA聚合物电池,37a5c316116c42299af4a85100ef004e
